frame,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,distance
863,3.1422970891981095e-07,-1.7466907593188807e-05,0.016057109460234642,1.5559072608084534e-06,0.00011127540346933529,-0.09419862180948257,102.72834539413452
864,5.358107273423229e-07,-1.3211995792516973e-05,0.011819543316960335,4.431620254763402e-06,8.509823237545788e-05,-0.08475132286548615,102.72834539413452
865,-1.9263859485363355e-07,-1.00880024547223e-05,0.008277587592601776,-1.456898644391913e-05,6.247987039387226e-05,-0.07083911448717117,102.72834539413452
866,5.311055062406922e-08,-7.629077572346432e-06,0.005478286650031805,4.914982582704397e-06,4.917849582852796e-05,-0.05598601698875427,102.72834539413452
867,-3.9560898557056134e-08,-5.831575890624663e-06,0.003376007080078125,-1.8534290120442165e-06,3.5950033634435385e-05,-0.04204559326171875,102.72835302352905
868,1.0533592131878322e-07,-4.376141077955253e-06,0.00187285419087857,2.8979363833059324e-06,2.910869625338819e-05,-0.03006305731832981,102.72835302352905
869,-1.1138394206966495e-08,-3.278160420450149e-06,0.0008532237843610346,-2.3294862785405712e-06,2.1959613150102086e-05,-0.020392607897520065,102.72835302352905
870,-4.5140396309761854e-08,-2.530168330849847e-06,0.0002040863037109375,-6.800400456086209e-07,1.4959841792006046e-05,-0.012982749380171299,102.72835302352905
871,-9.480253915228332e-09,-1.9138012703479035e-06,-0.00017467497673351318,7.132028940759483e-07,1.2327341210038867e-05,-0.007575225085020065,102.72835302352905
872,-2.541259647159677e-08,-7.168266051849059e-07,-9.348869207315147e-05,-3.186468688909372e-07,2.3939492166391574e-05,0.001623725751414895,102.72835302352905
873,-1.3253852237937735e-08,-1.1410525075916667e-06,-0.0003049564256798476,2.4317489533132175e-07,-8.484517820761539e-06,-0.004229354672133923,102.72835302352905
874,-5.433926020259605e-08,-9.343618785351282e-07,-0.0003902053867932409,-8.217081131078885e-07,4.133812581130769e-06,-0.0017049792222678661,102.72835302352905
875,1.6617397236018405e-08,-7.721566817053827e-07,-0.0003979873436037451,1.4191332411428448e-06,3.244103936594911e-06,-0.00015563913621008396,102.72835302352905
876,-3.530762882064664e-08,-5.928995960857719e-07,-0.0003613281296566129,-1.0385006135038566e-06,3.5851417123922147e-06,0.0007331842789426446,102.72835302352905
877,3.628375466746547e-08,-4.869640406468534e-07,-0.0003036498965229839,1.4318277408165159e-06,2.1187111087783705e-06,0.0011535646626725793,102.72835302352905
878,5.1176780146988676e-08,-3.696337387282256e-07,-0.0002411270106676966,2.9786050959046406e-07,2.3466059246857185e-06,0.0012504577171057463,102.72835302352905
879,1.727760867709094e-08,-2.1998903321218677e-07,-0.00018122672918252647,-6.77983393870818e-07,2.992894224007614e-06,0.0011980056297034025,102.72835302352905
880,6.494315840654963e-08,-2.1427904073334503e-07,-0.0001295852562179789,9.533110301163106e-07,1.1419984957683482e-07,0.0010328295174986124,102.72835302352905
881,-5.257807966785322e-09,-9.523047594939271e-08,-2.518653855076991e-05,-1.40401937187562e-06,2.3809711819922086e-06,0.0020879742223769426,102.72835302352905
882,-1.5011436538259204e-09,-1.3883270355563582e-07,-3.3197400625795126e-05,7.513328625918803e-08,-8.720445521248621e-07,-0.00016021724150050431,102.72835302352905
883,-9.49311296238875e-09,-1.2326948706231633e-07,-3.383636430953629e-05,-1.5983940215846815e-07,3.1126432986638974e-07,-1.2779273674823344e-05,102.72835302352905
884,-1.0597689836799873e-08,-8.25108585900125e-08,-3.1585692340740934e-05,-2.2091537488222457e-08,8.15172597867786e-07,4.501343937590718e-05,102.72835302352905
885,-2.390547759745232e-09,-5.777033962317546e-08,-2.656936521816533e-05,1.6414283265930862e-07,4.948103651258862e-07,0.00010032654245151207,102.72835302352905
886,-1.7813738040217686e-08,-6.726415335833735e-08,-2.115249662892893e-05,-3.084637967276649e-07,-1.8987627470323787e-07,0.00010833737178472802,102.72835302352905
887,-2.368280327402772e-08,-6.148244580117534e-08,-1.637458808545489e-05,-1.1738130467620067e-07,1.1563415114324016e-07,9.555817086948082e-05,102.72835302352905
888,-2.306034296850612e-08,1.4341685616869881e-09,-1.1682510375976562e-05,1.2449206110431987e-08,1.2583323041326366e-06,9.384155418956652e-05,102.72835302352905
889,-7.422205783313984e-08,-4.230472328003998e-08,-1.1062621751989354e-06,-1.023234290187247e-06,-8.74777867920784e-07,0.0002115249662892893,102.72835302352905
890,-3.6918981205502632e-09,3.0781997395479266e-08,-1.840591380641854e-06,1.410603317708592e-06,1.4617344277212396e-06,-1.468658410885837e-05,102.72835302352905
891,1.1966673874042044e-08,1.5606998360340185e-08,-2.0408629097801168e-06,3.1317142656916985e-07,-3.0349997359735426e-07,-4.005430582765257e-06,102.72835302352905
892,5.027978389193777e-08,-2.804718057802802e-08,-2.1648406800522935e-06,7.662622465431923e-07,-8.730835929782188e-07,-2.4795554054435343e-06,102.72835302352905
893,-4.194749081420923e-08,-2.4223034245096642e-08,-1.7547606603329768e-06,-1.8445455225446494e-06,7.648292665862755e-08,8.201600394386332e-06,102.72835302352905
894,2.296938284018779e-08,-7.451134709235419e-10,-1.7738342421580455e-06,1.298337565458496e-06,4.695584152614174e-07,-3.814716365013737e-07,102.72835302352905
895,2.8192021161999037e-08,-1.151576278779487e-09,-1.945495569088962e-06,1.0445276643622492e-07,-8.129256379163508e-09,-3.433226538618328e-06,102.72835302352905
896,-1.883386957501898e-08,-1.284860218220274e-08,-1.926422100950731e-06,-9.405178502674971e-07,-2.339405114071269e-07,3.814693627646193e-07,102.72835302352905
897,0.0,0.0,0.0,3.766774057112343e-07,2.569720436440548e-07,3.852844383800402e-05,102.72835302352905
898,-5.014932025204644e-09,4.684177490332786e-09,-2.7656554379973386e-07,-1.0029864228044971e-07,9.36835533593694e-08,-5.5313107623078395e-06,102.72835302352905
899,-0.00011667981743812561,-0.24457032978534698,-3.643035825007246e-06,-0.0023334959987550974,-4.891406536102295,-6.732940528308973e-05,102.73191595077515
900,-1.389204953738954e-05,-0.8571646809577942,-2.292632962053176e-05,0.002055755350738764,-12.251887321472168,-0.0003856658877339214,102.76193761825562
901,-6.493281944131013e-06,-1.4724488258361816,-4.117965727346018e-05,0.00014797535550314933,-12.305683135986328,-0.0003650665457826108,102.82271337509155
902,-1.4835914953437168e-05,-2.0864834785461426,-5.1784514653263614e-05,-0.00016685266746208072,-12.280693054199219,-0.00021209714759606868,102.91436529159546
903,-2.497152854630258e-05,-2.698631763458252,-5.0268172344658524e-05,-0.00020271226821932942,-12.242965698242188,3.0326846172101796e-05,103.0367865562439
904,-3.4374723327346146e-05,-3.308598279953003,-4.052161966683343e-05,-0.00018806388834491372,-12.19933032989502,0.00019493105355650187,103.18983221054077
905,-4.253947190591134e-05,-3.913774013519287,-2.82096862065373e-05,-0.0001632949715713039,-12.103514671325684,0.000246238661929965,103.37329626083374
906,-4.941373845213093e-05,-4.508267402648926,-1.2674331628659274e-05,-0.00013748533092439175,-11.889867782592773,0.0003107071097474545,103.58678197860718
907,-5.549701381823979e-05,-5.084427833557129,1.716613724056515e-06,-0.00012166550732217729,-11.523208618164062,0.00028781889704987407,103.82955694198608
908,-6.114030111348256e-05,-5.640142917633057,0.002692003268748522,-0.00011286574590485543,-11.114301681518555,0.05380573123693466,104.10059118270874
909,-6.57254786347039e-05,-6.157311916351318,0.0013052081922069192,-9.17035504244268e-05,-10.343379974365234,-0.02773590199649334,104.39831304550171
910,-7.006133091636002e-05,-6.62908411026001,0.00043845176696777344,-8.671704563312232e-05,-9.435443878173828,-0.017335128039121628,104.72057104110718
911,-7.358088623732328e-05,-7.053369522094727,-5.947112731519155e-05,-7.039110641926527e-05,-8.485708236694336,-0.009958457201719284,105.06502294540405
912,-7.655571971554309e-05,-7.431601524353027,-0.00031105041853152215,-5.949666956439614e-05,-7.564640045166016,-0.005031586159020662,105.42931127548218
913,-7.97556567704305e-05,-7.766720294952393,-0.0004049014823976904,-6.399874109774828e-05,-6.702375411987305,-0.0018770212773233652,105.81125402450562
914,-8.262053597718477e-05,-8.06236457824707,-0.0004057884216308594,-5.7297584135085344e-05,-5.912885665893555,-1.7738784663379192e-05,106.20872259140015
915,-8.501169213559479e-05,-8.322376251220703,-0.00035915375337935984,-4.7823123168200254e-05,-5.200233459472656,0.0009326933650299907,106.6199164390564
916,-8.722738857613876e-05,-8.550525665283203,-0.0002936935343313962,-4.431392881087959e-05,-4.56298828125,0.0013092043809592724,107.04314184188843
917,-8.95204211701639e-05,-8.750375747680664,-0.00022628784063272178,-4.58606518805027e-05,-3.9970016479492188,0.0013481138739734888,107.47687292098999
918,-9.166289237327874e-05,-8.92520523071289,-0.00016448021051473916,-4.284942406229675e-05,-3.4965896606445312,0.0012361526023596525,107.91986608505249
919,-9.318833326688036e-05,-9.077991485595703,-0.00011327743413858116,-3.0508817872032523e-05,-3.05572509765625,0.00102405552752316,108.37090826034546
920,-9.442779264645651e-05,-9.211405754089355,-7.339477451751009e-05,-2.4789187591522932e-05,-2.668285369873047,0.0007976532215252519,108.82894659042358
921,-9.5818453701213e-05,-9.327829360961914,-4.49657418357674e-05,-2.7813221095129848e-05,-2.328472137451172,0.0005685806390829384,109.29319524765015
922,-9.666253026807681e-05,-9.429375648498535,-2.5424957129871473e-05,-1.68815313372761e-05,-2.030925750732422,0.0003908156941179186,109.76278448104858
923,-9.74318099906668e-05,-9.517908096313477,-1.1911391993635334e-05,-1.538559445179999e-05,-1.7706489562988281,0.00027027129544876516,110.23704290390015
924,-9.825739107327536e-05,-9.595067977905273,-5.4645538511977065e-06,-1.6511621652171016e-05,-1.5431976318359375,0.00012893676466774195,110.71536016464233
925,-9.851984214037657e-05,-9.662298202514648,8.583068478174027e-08,-5.249021342024207e-06,-1.3446044921875,0.00011100769188487902,111.19724798202515
926,-9.924670303007588e-05,-9.72086238861084,2.384185791015625e-07,-1.4537217793986201e-05,-1.1712837219238281,3.0517576306010596e-06,111.68219518661499
927,-0.00010012886195909232,-9.771868705749512,6.866454782539222e-07,-1.7643178580328822e-05,-1.0201263427734375,8.96453821042087e-06,112.16985845565796
928,-0.000100377292255871,-9.816285133361816,1.802444444365392e-06,-4.968605935573578e-06,-0.8883285522460938,2.2315980459097773e-05,112.65986394882202
929,-0.00010085944086313248,-9.842918395996094,-2.0980834847250662e-07,-9.642972145229578e-06,-0.5326652526855469,-4.0245053241960704e-05,113.1517767906189
930,-0.00010027340613305569,-9.823783874511719,2.7656554379973386e-07,1.1720694601535797e-05,0.3826904296875,9.72747784544481e-06,113.64343023300171
931,-0.00010008188837673515,-9.804731369018555,-2.0980834847250662e-07,3.830355126410723e-06,0.38105010986328125,-9.72747784544481e-06,114.13413000106812
932,-0.00010018874309025705,-9.785736083984375,-2.4700163976376643e-06,-2.137094270437956e-06,0.37990570068359375,-4.5204160414868966e-05,114.62386846542358
933,-0.00010003317584050819,-9.76678466796875,-4.720687684311997e-06,3.1113449949771166e-06,0.3790283203125,-4.5013424823991954e-05,115.11263799667358
934,-9.971346298698336e-05,-9.747875213623047,-6.532668976433342e-06,6.394257070496678e-06,0.3781890869140625,-3.62396240234375e-05,115.60044622421265
935,-9.964416676666588e-05,-9.729010581970215,-8.03947386884829e-06,1.385924406349659e-06,0.3772926330566406,-3.013609784829896e-05,116.08730840682983
936,-9.968238737201318e-05,-9.71019172668457,-9.603500075172633e-06,-7.644121069461107e-07,0.3763771057128906,-3.128052412648685e-05,116.57320165634155
937,-9.916420094668865e-05,-9.69141960144043,-7.343292054429185e-06,1.0363728506490588e-05,0.3754425048828125,4.5204160414868966e-05,117.05817937850952
938,-9.904748731059954e-05,-9.672694206237793,-7.228851245599799e-06,2.3342727217823267e-06,0.3745079040527344,2.2888161765877157e-06,117.54221868515015
939,-9.919353760778904e-05,-9.654014587402344,-6.036758350091986e-06,-2.921005943790078e-06,0.3735923767089844,2.384185791015625e-05,118.02529668807983
940,-0.0001002814678940922,-9.76001262664795,-7.152557373046875e-06,-2.175860572606325e-05,-2.1199607849121094,-2.2315980459097773e-05,118.51097631454468
941,-0.00010152480535907671,-9.891744613647461,-8.38279720483115e-06,-2.4866749299690127e-05,-2.6346397399902344,-2.460479663568549e-05,119.00268316268921
942,-0.00010291155922459438,-10.045815467834473,-6.599426342290826e-06,-2.7735077310353518e-05,-3.0814170837402344,3.5667417250806466e-05,119.50165319442749
943,-0.0001046340330503881,-10.218445777893066,-1.7261504581256304e-06,-3.444947651587427e-05,-3.452606201171875,9.746551950229332e-05,120.00894689559937
944,-0.00010610375466058031,-10.406426429748535,2.2602080207434483e-06,-2.939443220384419e-05,-3.759613037109375,7.972717139637098e-05,120.52534246444702
945,-0.00010854505671886727,-10.607040405273438,6.9427487687789835e-06,-4.88260411657393e-05,-4.012279510498047,9.36508149607107e-05,121.05152654647827
946,-0.00011068684398196638,-10.810856819152832,1.1873245057358872e-05,-4.283574526198208e-05,-4.076328277587891,9.860992577159777e-05,121.58795690536499
947,-0.00011263673513894901,-10.997952461242676,1.6403197150793858e-05,-3.899782313965261e-05,-3.741912841796875,9.059904550667852e-05,122.13413000106812
